Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,234803,56343,24,6220,2.6,23886,10.2,12283,5.2,13953,5.9,178461,76,154658,65.9,23803,10.1,Both Sexes (White Alone)
3 and 4 years old,5761,3090,53.6,3090,53.6,0,0,0,0,0,0,2671,46.4,0,0,2671,46.4,Both Sexes (White Alone)
5 and 6 years old,5835,5462,93.6,3112,53.3,2351,40.3,0,0,0,0,373,6.4,0,0,373,6.4,Both Sexes (White Alone)
7 to 9 years old,9024,8803,97.6,18,0.2,8785,97.4,0,0,0,0,221,2.4,0,0,221,2.4,Both Sexes (White Alone)
10 to 13 years old,12101,11797,97.5,0,0,11660,96.4,137,1.1,0,0,304,2.5,0,0,304,2.5,Both Sexes (White Alone)
14 and 15 years old,6185,6042,97.7,0,0,956,15.5,5073,82,12,0.2,144,2.3,0,0,144,2.3,Both Sexes (White Alone)
16 and 17 years old,6143,5742,93.5,0,0,65,1.1,5542,90.2,136,2.2,401,6.5,97,1.6,304,4.9,Both Sexes (White Alone)
18 and 19 years old,6213,4245,68.3,0,0,19,0.3,1163,18.7,3064,49.3,1968,31.7,1517,24.4,451,7.3,Both Sexes (White Alone)
20 and 21 years old,6299,3341,53,0,0,0,0,108,1.7,3232,51.3,2959,47,2559,40.6,399,6.3,Both Sexes (White Alone)
22 to 24 years old,9994,2858,28.6,0,0,5,0.1,72,0.7,2781,27.8,7136,71.4,6388,63.9,748,7.5,Both Sexes (White Alone)
25 to 29 years old,15984,1980,12.4,0,0,3,0,34,0.2,1942,12.2,14005,87.6,12708,79.5,1297,8.1,Both Sexes (White Alone)
30 to 34 years old,15869,943,5.9,0,0,28,0.2,27,0.2,888,5.6,14926,94.1,13426,84.6,1500,9.5,Both Sexes (White Alone)
35 to 44 years old,30220,1166,3.9,0,0,0,0,53,0.2,1113,3.7,29054,96.1,25686,85,3368,11.1,Both Sexes (White Alone)
45 to 54 years old,33828,629,1.9,0,0,7,0,65,0.2,557,1.6,33199,98.1,29632,87.6,3566,10.5,Both Sexes (White Alone)
55 years old and over,71345,244,0.3,0,0,6,0,9,0,229,0.3,71101,99.7,62644,87.8,8457,11.9,Both Sexes (White Alone)
Total,115651,28015,24.2,3186,2.8,12181,10.5,6250,5.4,6398,5.5,87636,75.8,75243,65.1,12393,10.7,Male (White Alone)
3 and 4 years old,2950,1544,52.3,1544,52.3,0,0,0,0,0,0,1406,47.7,0,0,1406,47.7,Male (White Alone)
5 and 6 years old,2986,2796,93.7,1635,54.8,1161,38.9,0,0,0,0,190,6.3,0,0,190,6.3,Male (White Alone)
7 to 9 years old,4623,4494,97.2,7,0.2,4487,97.1,0,0,0,0,129,2.8,0,0,129,2.8,Male (White Alone)
10 to 13 years old,6196,5995,96.8,0,0,5933,95.7,63,1,0,0,201,3.2,0,0,201,3.2,Male (White Alone)
14 and 15 years old,3171,3085,97.3,0,0,541,17.1,2541,80.1,4,0.1,85,2.7,0,0,85,2.7,Male (White Alone)
16 and 17 years old,3143,2909,92.5,0,0,35,1.1,2811,89.4,63,2,235,7.5,56,1.8,179,5.7,Male (White Alone)
18 and 19 years old,3165,2050,64.8,0,0,3,0.1,649,20.5,1397,44.1,1115,35.2,879,27.8,236,7.5,Male (White Alone)
20 and 21 years old,3364,1694,50.4,0,0,0,0,73,2.2,1621,48.2,1670,49.6,1424,42.3,246,7.3,Male (White Alone)
22 to 24 years old,4868,1303,26.8,0,0,0,0,24,0.5,1278,26.3,3565,73.2,3181,65.3,384,7.9,Male (White Alone)
25 to 29 years old,8060,934,11.6,0,0,0,0,6,0.1,927,11.5,7127,88.4,6400,79.4,726,9,Male (White Alone)
30 to 34 years old,7971,402,5,0,0,18,0.2,10,0.1,374,4.7,7568,95,6756,84.8,812,10.2,Male (White Alone)
35 to 44 years old,15096,474,3.1,0,0,0,0,27,0.2,447,3,14622,97,12756,84.5,1866,12.4,Male (White Alone)
