Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,241139,59281,24.6,6700,2.8,25391,10.5,12879,5.3,14310,5.9,181858,75.4,157406,65.3,24452,10.1,Both Sexes (White Alone or in Combination)
3 and 4 years old,6172,3331,54,3331,54,0,0,0,0,0,0,2841,46,0,0,2841,46,Both Sexes (White Alone or in Combination)
5 and 6 years old,6282,5865,93.4,3345,53.2,2520,40.1,0,0,0,0,417,6.6,0,0,417,6.6,Both Sexes (White Alone or in Combination)
7 to 9 years old,9638,9414,97.7,24,0.2,9390,97.4,0,0,0,0,225,2.3,0,0,225,2.3,Both Sexes (White Alone or in Combination)
10 to 13 years old,12800,12481,97.5,0,0,12330,96.3,151,1.2,0,0,319,2.5,0,0,319,2.5,Both Sexes (White Alone or in Combination)
14 and 15 years old,6490,6341,97.7,0,0,1018,15.7,5311,81.8,12,0.2,149,2.3,0,0,149,2.3,Both Sexes (White Alone or in Combination)
16 and 17 years old,6456,6030,93.4,0,0,65,1,5823,90.2,142,2.2,426,6.6,107,1.7,319,4.9,Both Sexes (White Alone or in Combination)
18 and 19 years old,6450,4391,68.1,0,0,19,0.3,1219,18.9,3154,48.9,2059,31.9,1592,24.7,467,7.2,Both Sexes (White Alone or in Combination)
20 and 21 years old,6513,3407,52.3,0,0,0,0,108,1.7,3299,50.6,3106,47.7,2691,41.3,415,6.4,Both Sexes (White Alone or in Combination)
22 to 24 years old,10364,2961,28.6,0,0,5,0.1,79,0.8,2877,27.8,7403,71.4,6646,64.1,757,7.3,Both Sexes (White Alone or in Combination)
25 to 29 years old,16417,2019,12.3,0,0,3,0,34,0.2,1982,12.1,14397,87.7,13052,79.5,1345,8.2,Both Sexes (White Alone or in Combination)
30 to 34 years old,16287,966,5.9,0,0,28,0.2,27,0.2,910,5.6,15321,94.1,13802,84.7,1519,9.3,Both Sexes (White Alone or in Combination)
35 to 44 years old,30871,1186,3.8,0,0,0,0,53,0.2,1133,3.7,29685,96.2,26240,85,3445,11.2,Both Sexes (White Alone or in Combination)
45 to 54 years old,34316,641,1.9,0,0,7,0,65,0.2,569,1.7,33675,98.1,30040,87.5,3635,10.6,Both Sexes (White Alone or in Combination)
55 years old and over,72084,249,0.3,0,0,6,0,9,0,233,0.3,71836,99.7,63237,87.7,8599,11.9,Both Sexes (White Alone or in Combination)
Total,118794,29538,24.9,3442,2.9,13005,10.9,6542,5.5,6549,5.5,89255,75.1,76521,64.4,12734,10.7,Male (White Alone or in Combination)
3 and 4 years old,3176,1671,52.6,1671,52.6,0,0,0,0,0,0,1505,47.4,0,0,1505,47.4,Male (White Alone or in Combination)
5 and 6 years old,3208,3008,93.8,1758,54.8,1250,39,0,0,0,0,200,6.2,0,0,200,6.2,Male (White Alone or in Combination)
7 to 9 years old,4958,4828,97.4,13,0.3,4816,97.1,0,0,0,0,129,2.6,0,0,129,2.6,Male (White Alone or in Combination)
10 to 13 years old,6593,6384,96.8,0,0,6312,95.7,72,1.1,0,0,209,3.2,0,0,209,3.2,Male (White Alone or in Combination)
14 and 15 years old,3309,3221,97.3,0,0,569,17.2,2649,80,4,0.1,88,2.7,0,0,88,2.7,Male (White Alone or in Combination)
16 and 17 years old,3296,3047,92.4,0,0,35,1.1,2943,89.3,69,2.1,249,7.6,56,1.7,193,5.9,Male (White Alone or in Combination)
18 and 19 years old,3292,2127,64.6,0,0,3,0.1,690,21,1433,43.5,1165,35.4,913,27.7,252,7.7,Male (White Alone or in Combination)
20 and 21 years old,3483,1719,49.4,0,0,0,0,73,2.1,1646,47.2,1764,50.6,1503,43.1,261,7.5,Male (White Alone or in Combination)
22 to 24 years old,5026,1344,26.7,0,0,0,0,26,0.5,1318,26.2,3682,73.3,3295,65.6,387,7.7,Male (White Alone or in Combination)
25 to 29 years old,8277,953,11.5,0,0,0,0,6,0.1,947,11.4,7324,88.5,6577,79.5,747,9,Male (White Alone or in Combination)
30 to 34 years old,8150,413,5.1,0,0,18,0.2,10,0.1,385,4.7,7737,94.9,6921,84.9,815,10,Male (White Alone or in Combination)
35 to 44 years old,15403,482,3.1,0,0,0,0,27,0.2,455,3,14921,96.9,13007,84.4,1914,12.4,Male (White Alone or in Combination)
45 to 54 years old,17006,234,1.4,0,0,0,0,36,0.2,198,1.2,16772,98.6,14766,86.8,2006,11.8,Male (White Alone or in Combination)
55 years old and over,33617,107,0.3,0,0,3,0,9,0,95,0.3,33510,99.7,29482,87.7,4028,12,Male (White Alone or in Combination)
Total,122345,29742,24.3,3258,2.7,12386,10.1,6337,5.2,7761,6.3,92603,75.7,80885,66.1,11718,9.6,Female (White Alone or in Combination)
3 and 4 years old,2996,1660,55.4,1660,55.4,0,0,0,0,0,0,1336,44.6,0,0,1336,44.6,Female (White Alone or in Combination)
5 and 6 years old,3075,2858,92.9,1587,51.6,1271,41.3,0,0,0,0,217,7.1,0,0,217,7.1,Female (White Alone or in Combination)
7 to 9 years old,4681,4585,98,11,0.2,4574,97.7,0,0,0,0,96,2,0,0,96,2,Female (White Alone or in Combination)
10 to 13 years old,6207,6097,98.2,0,0,6018,96.9,79,1.3,0,0,110,1.8,0,0,110,1.8,Female (White Alone or in Combination)
