Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,193731,43723,22.6,4844,2.5,18001,9.3,9530,4.9,11348,5.9,150008,77.4,136524,70.5,13484,7,Both Sexes (White Alone or in Combination Non Hispanic)
3 and 4 years old,4261,2457,57.7,2457,57.7,0,0,0,0,0,0,1804,42.3,0,0,1804,42.3,Both Sexes (White Alone or in Combination Non Hispanic)
5 and 6 years old,4411,4102,93,2369,53.7,1733,39.3,0,0,0,0,309,7,0,0,309,7,Both Sexes (White Alone or in Combination Non Hispanic)
7 to 9 years old,6815,6639,97.4,18,0.3,6621,97.2,0,0,0,0,176,2.6,0,0,176,2.6,Both Sexes (White Alone or in Combination Non Hispanic)
10 to 13 years old,9218,8987,97.5,0,0,8885,96.4,102,1.1,0,0,231,2.5,0,0,231,2.5,Both Sexes (White Alone or in Combination Non Hispanic)
14 and 15 years old,4766,4664,97.9,0,0,702,14.7,3953,82.9,10,0.2,101,2.1,0,0,101,2.1,Both Sexes (White Alone or in Combination Non Hispanic)
16 and 17 years old,4839,4523,93.5,0,0,29,0.6,4386,90.6,109,2.3,315,6.5,86,1.8,229,4.7,Both Sexes (White Alone or in Combination Non Hispanic)
18 and 19 years old,4744,3281,69.2,0,0,13,0.3,898,18.9,2371,50,1463,30.8,1164,24.5,299,6.3,Both Sexes (White Alone or in Combination Non Hispanic)
20 and 21 years old,4761,2630,55.2,0,0,0,0,50,1.1,2580,54.2,2131,44.8,1896,39.8,236,4.9,Both Sexes (White Alone or in Combination Non Hispanic)
22 to 24 years old,7836,2346,29.9,0,0,2,0,52,0.7,2292,29.3,5490,70.1,5116,65.3,374,4.8,Both Sexes (White Alone or in Combination Non Hispanic)
25 to 29 years old,12496,1600,12.8,0,0,3,0,18,0.1,1578,12.6,10896,87.2,10299,82.4,597,4.8,Both Sexes (White Alone or in Combination Non Hispanic)
30 to 34 years old,12352,783,6.3,0,0,7,0.1,12,0.1,764,6.2,11569,93.7,11037,89.4,532,4.3,Both Sexes (White Alone or in Combination Non Hispanic)
35 to 44 years old,23654,963,4.1,0,0,0,0,24,0.1,939,4,22691,95.9,21575,91.2,1117,4.7,Both Sexes (White Alone or in Combination Non Hispanic)
45 to 54 years old,28550,528,1.9,0,0,0,0,30,0.1,498,1.7,28021,98.1,26318,92.2,1703,6,Both Sexes (White Alone or in Combination Non Hispanic)
55 years old and over,65028,218,0.3,0,0,6,0,5,0,206,0.3,64810,99.7,59034,90.8,5776,8.9,Both Sexes (White Alone or in Combination Non Hispanic)
Total,94839,21776,23,2493,2.6,9229,9.7,4827,5.1,5228,5.5,73063,77,66079,69.7,6984,7.4,Male (White Alone or in Combination Non Hispanic)
3 and 4 years old,2220,1262,56.8,1262,56.8,0,0,0,0,0,0,958,43.2,0,0,958,43.2,Male (White Alone or in Combination Non Hispanic)
5 and 6 years old,2231,2089,93.7,1220,54.7,869,39,0,0,0,0,141,6.3,0,0,141,6.3,Male (White Alone or in Combination Non Hispanic)
7 to 9 years old,3506,3405,97.1,11,0.3,3394,96.8,0,0,0,0,101,2.9,0,0,101,2.9,Male (White Alone or in Combination Non Hispanic)
10 to 13 years old,4730,4586,97,0,0,4535,95.9,51,1.1,0,0,144,3,0,0,144,3,Male (White Alone or in Combination Non Hispanic)
14 and 15 years old,2434,2367,97.2,0,0,400,16.4,1963,80.6,4,0.2,68,2.8,0,0,68,2.8,Male (White Alone or in Combination Non Hispanic)
16 and 17 years old,2457,2285,93,0,0,20,0.8,2204,89.7,60,2.5,173,7,42,1.7,131,5.3,Male (White Alone or in Combination Non Hispanic)
18 and 19 years old,2436,1602,65.8,0,0,3,0.1,523,21.5,1076,44.2,834,34.2,678,27.8,156,6.4,Male (White Alone or in Combination Non Hispanic)
20 and 21 years old,2496,1360,54.5,0,0,0,0,31,1.2,1329,53.2,1136,45.5,989,39.6,147,5.9,Male (White Alone or in Combination Non Hispanic)
22 to 24 years old,3817,1078,28.2,0,0,0,0,16,0.4,1062,27.8,2739,71.8,2542,66.6,197,5.2,Male (White Alone or in Combination Non Hispanic)
25 to 29 years old,6197,746,12,0,0,0,0,6,0.1,740,11.9,5451,88,5144,83,307,5,Male (White Alone or in Combination Non Hispanic)
30 to 34 years old,6118,357,5.8,0,0,3,0.1,6,0.1,348,5.7,5761,94.2,5456,89.2,305,5,Male (White Alone or in Combination Non Hispanic)
35 to 44 years old,11722,368,3.1,0,0,0,0,8,0.1,360,3.1,11354,96.9,10750,91.7,604,5.1,Male (White Alone or in Combination Non Hispanic)
45 to 54 years old,14125,187,1.3,0,0,0,0,15,0.1,172,1.2,13937,98.7,12958,91.7,980,6.9,Male (White Alone or in Combination Non Hispanic)
