Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,302042,77214,25.6,8764,2.9,32622,10.8,16654,5.5,19175,6.3,224828,74.4,193495,64.1,31333,10.4,Both Sexes (All Races)
3 and 4 years old,8125,4426,54.5,4426,54.5,0,0,0,0,0,0,3699,45.5,0,0,3699,45.5,Both Sexes (All Races)
5 and 6 years old,8110,7577,93.4,4297,53,3280,40.4,0,0,0,0,533,6.6,0,0,533,6.6,Both Sexes (All Races)
7 to 9 years old,12374,12089,97.7,41,0.3,12048,97.4,0,0,0,0,284,2.3,0,0,284,2.3,Both Sexes (All Races)
10 to 13 years old,16415,16004,97.5,0,0,15784,96.2,220,1.3,0,0,411,2.5,0,0,411,2.5,Both Sexes (All Races)
14 and 15 years old,8362,8178,97.8,0,0,1338,16,6819,81.5,21,0.3,184,2.2,0,0,184,2.2,Both Sexes (All Races)
16 and 17 years old,8346,7755,92.9,0,0,76,0.9,7467,89.5,213,2.6,591,7.1,155,1.9,436,5.2,Both Sexes (All Races)
18 and 19 years old,8261,5654,68.4,0,0,19,0.2,1599,19.4,4036,48.9,2607,31.6,2019,24.4,588,7.1,Both Sexes (All Races)
20 and 21 years old,8535,4384,51.4,0,0,4,0,162,1.9,4218,49.4,4151,48.6,3572,41.9,579,6.8,Both Sexes (All Races)
22 to 24 years old,13508,3996,29.6,0,0,7,0.1,111,0.8,3878,28.7,9512,70.4,8588,63.6,924,6.8,Both Sexes (All Races)
25 to 29 years old,21335,2798,13.1,0,0,6,0,70,0.3,2722,12.8,18538,86.9,16744,78.5,1794,8.4,Both Sexes (All Races)
30 to 34 years old,20948,1336,6.4,0,0,37,0.2,32,0.2,1267,6,19612,93.6,17727,84.6,1885,9,Both Sexes (All Races)
35 to 44 years old,39573,1758,4.4,0,0,7,0,74,0.2,1678,4.2,37815,95.6,33566,84.8,4249,10.7,Both Sexes (All Races)
45 to 54 years old,42730,936,2.2,0,0,11,0,82,0.2,844,2,41794,97.8,37221,87.1,4573,10.7,Both Sexes (All Races)
55 years old and over,85420,323,0.4,0,0,6,0,18,0,298,0.3,85098,99.6,73903,86.5,11195,13.1,Both Sexes (All Races)
Total,147357,38209,25.9,4487,3,16657,11.3,8436,5.7,8629,5.9,109148,74.1,93201,63.2,15946,10.8,Male (All Races)
3 and 4 years old,4132,2209,53.5,2209,53.5,0,0,0,0,0,0,1924,46.5,0,0,1924,46.5,Male (All Races)
5 and 6 years old,4116,3870,94,2257,54.8,1613,39.2,0,0,0,0,246,6,0,0,246,6,Male (All Races)
7 to 9 years old,6346,6189,97.5,21,0.3,6168,97.2,0,0,0,0,157,2.5,0,0,157,2.5,Male (All Races)
10 to 13 years old,8378,8122,96.9,0,0,8025,95.8,97,1.2,0,0,256,3.1,0,0,256,3.1,Male (All Races)
14 and 15 years old,4272,4163,97.5,0,0,767,18,3384,79.2,12,0.3,108,2.5,0,0,108,2.5,Male (All Races)
16 and 17 years old,4250,3913,92.1,0,0,36,0.9,3764,88.6,113,2.7,337,7.9,80,1.9,256,6,Male (All Races)
18 and 19 years old,4183,2714,64.9,0,0,3,0.1,932,22.3,1779,42.5,1469,35.1,1146,27.4,323,7.7,Male (All Races)
20 and 21 years old,4473,2195,49.1,0,0,4,0.1,102,2.3,2090,46.7,2278,50.9,1937,43.3,341,7.6,Male (All Races)
22 to 24 years old,6579,1850,28.1,0,0,1,0,41,0.6,1808,27.5,4729,71.9,4260,64.8,469,7.1,Male (All Races)
25 to 29 years old,10603,1298,12.2,0,0,1,0,14,0.1,1283,12.1,9305,87.8,8308,78.4,997,9.4,Male (All Races)
30 to 34 years old,10322,546,5.3,0,0,27,0.3,11,0.1,509,4.9,9776,94.7,8769,85,1007,9.8,Male (All Races)
35 to 44 years old,19394,687,3.5,0,0,7,0,36,0.2,644,3.3,18707,96.5,16382,84.5,2325,12,Male (All Races)
45 to 54 years old,20882,318,1.5,0,0,3,0,36,0.2,278,1.3,20565,98.5,18126,86.8,2439,11.7,Male (All Races)
55 years old and over,39427,135,0.3,0,0,3,0,18,0,114,0.3,39292,99.7,34193,86.7,5099,12.9,Male (All Races)
Total,154685,39005,25.2,4277,2.8,15964,10.3,8218,5.3,10546,6.8,115680,74.8,100293,64.8,15387,9.9,Female (All Races)
3 and 4 years old,3993,2217,55.5,2217,55.5,0,0,0,0,0,0,1776,44.5,0,0,1776,44.5,Female (All Races)
5 and 6 years old,3993,3707,92.8,2040,51.1,1667,41.7,0,0,0,0,287,7.2,0,0,287,7.2,Female (All Races)
7 to 9 years old,6027,5900,97.9,20,0.3,5880,97.6,0,0,0,0,127,2.1,0,0,127,2.1,Female (All Races)
10 to 13 years old,8036,7882,98.1,0,0,7759,96.6,123,1.5,0,0,154,1.9,0,0,154,1.9,Female (All Races)
14 and 15 years old,4090,4015,98.2,0,0,571,14,3435,84,9,0.2,76,1.8,0,0,76,1.8,Female (All Races)
16 and 17 years old,4096,3842,93.8,0,0,39,1,3703,90.4,100,2.4,254,6.2,74,1.8,180,4.4,Female (All Races)
18 and 19 years old,4079,2940,72.1,0,0,16,0.4,667,16.4,2257,55.3,1138,27.9,873,21.4,265,6.5,Female (All Races)
20 and 21 years old,4062,2189,53.9,0,0,0,0,60,1.5,2128,52.4,1873,46.1,1635,40.2,238,5.9,Female (All Races)
22 to 24 years old,6929,2146,31,0,0,6,0.1,70,1,2070,29.9,4783,69,4328,62.5,455,6.6,Female (All Races)
