Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,51797,17122,33.1,2061,4,8085,15.6,3681,7.1,3295,6.4,34675,66.9,22788,44,11886,22.9,Both Sexes (Hispanic)
3 and 4 years old,2120,964,45.5,964,45.5,0,0,0,0,0,0,1156,54.5,0,0,1156,54.5,Both Sexes (Hispanic)
5 and 6 years old,2107,1989,94.4,1091,51.8,898,42.6,0,0,0,0,118,5.6,0,0,118,5.6,Both Sexes (Hispanic)
7 to 9 years old,3080,3025,98.2,6,0.2,3019,98,0,0,0,0,55,1.8,0,0,55,1.8,Both Sexes (Hispanic)
10 to 13 years old,3901,3796,97.3,0,0,3737,95.8,59,1.5,0,0,105,2.7,0,0,105,2.7,Both Sexes (Hispanic)
14 and 15 years old,1899,1844,97.1,0,0,349,18.4,1492,78.6,2,0.1,55,2.9,0,0,55,2.9,Both Sexes (Hispanic)
16 and 17 years old,1777,1638,92.2,0,0,36,2,1553,87.4,49,2.8,138,7.8,33,1.9,105,5.9,Both Sexes (Hispanic)
18 and 19 years old,1908,1234,64.7,0,0,6,0.3,371,19.5,857,44.9,673,35.3,491,25.7,183,9.6,Both Sexes (Hispanic)
20 and 21 years old,1914,855,44.7,0,0,0,0,58,3,797,41.7,1058,55.3,859,44.9,199,10.4,Both Sexes (Hispanic)
22 to 24 years old,2746,659,24,0,0,4,0.1,27,1,628,22.9,2088,76,1693,61.6,395,14.4,Both Sexes (Hispanic)
25 to 29 years old,4357,467,10.7,0,0,2,0,24,0.6,441,10.1,3890,89.3,3059,70.2,831,19.1,Both Sexes (Hispanic)
30 to 34 years old,4327,231,5.3,0,0,27,0.6,15,0.3,189,4.4,4096,94.7,3021,69.8,1075,24.8,Both Sexes (Hispanic)
35 to 44 years old,7833,264,3.4,0,0,0,0,35,0.4,229,2.9,7569,96.6,5067,64.7,2502,31.9,Both Sexes (Hispanic)
45 to 54 years old,6253,118,1.9,0,0,7,0.1,35,0.6,76,1.2,6135,98.1,4024,64.4,2111,33.8,Both Sexes (Hispanic)
55 years old and over,7575,37,0.5,0,0,0,0,10,0.1,27,0.4,7538,99.5,4542,60,2996,39.5,Both Sexes (Hispanic)
Total,26050,8481,32.6,1055,4.1,4070,15.6,1915,7.4,1441,5.5,17569,67.4,11337,43.5,6232,23.9,Male (Hispanic)
3 and 4 years old,1053,454,43.1,454,43.1,0,0,0,0,0,0,600,56.9,0,0,600,56.9,Male (Hispanic)
5 and 6 years old,1086,1027,94.6,600,55.2,428,39.4,0,0,0,0,59,5.4,0,0,59,5.4,Male (Hispanic)
7 to 9 years old,1561,1527,97.8,2,0.1,1525,97.7,0,0,0,0,34,2.2,0,0,34,2.2,Male (Hispanic)
10 to 13 years old,1989,1924,96.7,0,0,1897,95.4,27,1.3,0,0,65,3.3,0,0,65,3.3,Male (Hispanic)
14 and 15 years old,969,948,97.8,0,0,186,19.2,762,78.6,0,0,21,2.2,0,0,21,2.2,Male (Hispanic)
16 and 17 years old,924,826,89.3,0,0,15,1.6,800,86.6,11,1.2,99,10.7,22,2.3,77,8.3,Male (Hispanic)
