<<<<<<< 9a1930ccda09eaeacbf03736afd455084bebab35
Ages,Population,PercentTotalEnrolled,PercentNurseKinder,PercentElementary,PercentHS,PercentCollege,PercentTotalNotEnrolled,PercentHSGrad,PercentNotHSGrad,Gender,,,,
Total,"16,509",26.9,2.6,10,5,9.3,73.1,63.9,9.1,Both Sexes (Asian Alone),,,,
3 and 4 years old,478,53.9,53.9,-,-,-,46.1,-,46.1,Both Sexes (Asian Alone),,,,
5 and 6 years old,370,90.5,48.3,42.2,-,-,9.5,-,9.5,Both Sexes (Asian Alone),,,,
7 to 9 years old,649,96.3,-,96.3,-,-,3.7,-,3.7,Both Sexes (Asian Alone),,,,
10 to 13 years old,821,97.5,-,96.5,1,-,2.5,-,2.5,Both Sexes (Asian Alone),,,,
14 and 15 years old,422,95.5,-,11.9,83,0.6,4.5,-,4.5,Both Sexes (Asian Alone),,,,
16 and 17 years old,437,94.5,-,2.2,88.6,3.7,5.5,4.2,1.3,Both Sexes (Asian Alone),,,,
18 and 19 years old,352,88.1,-,-,11.3,76.8,11.9,11.9,-,Both Sexes (Asian Alone),,,,
20 and 21 years old,423,75.8,-,0.9,2.8,72.1,24.2,22.9,1.2,Both Sexes (Asian Alone),,,,
22 to 24 years old,814,56.5,-,0.2,1.4,54.9,43.5,42,1.5,Both Sexes (Asian Alone),,12.21,,
25 to 29 years old,"1,429",19.2,-,-,0.1,19.1,80.8,77.4,3.4,Both Sexes (Asian Alone),,48.586,0.093846472,
30 to 34 years old,"1,481",5.4,-,-,-,5.4,94.6,89.8,4.8,Both Sexes (Asian Alone),,71.088,,
35 to 44 years old,"2,753",4.1,-,0.1,0.3,3.7,95.9,89.7,6.2,Both Sexes (Asian Alone),,170.686,,
45 to 54 years old,"2,297",1.8,-,0.1,0.2,1.5,98.2,88.4,9.8,Both Sexes (Asian Alone),,225.106,,
55 years old and over,"3,784",0.4,-,-,0.1,0.3,99.6,82.4,17.2,Both Sexes (Asian Alone),,650.848,,
Total,"7,775",28.7,2.9,10.6,4.9,10.2,71.3,63.7,7.6,Male (Asian Alone),,,,
3 and 4 years old,224,53.9,53.9,-,-,-,46.1,-,46.1,Male (Asian Alone),,,,
5 and 6 years old,196,91.2,52.6,38.6,-,-,8.8,-,8.8,Male (Asian Alone),,,,107.4039
7 to 9 years old,324,97.8,-,97.8,-,-,2.2,-,2.2,Male (Asian Alone),,,,
10 to 13 years old,408,97.2,-,96.4,0.8,-,2.8,-,2.8,Male (Asian Alone),,,,
14 and 15 years old,219,94.7,-,14,79.5,1.3,5.3,-,5.3,Male (Asian Alone),,,,
16 and 17 years old,204,93.3,-,-,87.8,5.5,6.7,3.8,2.9,Male (Asian Alone),,,,
18 and 19 years old,177,87.5,-,-,11,76.5,12.5,12.5,-,Male (Asian Alone),,,,
20 and 21 years old,222,74,-,1.6,0.8,71.5,26,24.6,1.4,Male (Asian Alone),,,,
22 to 24 years old,410,62.2,-,-,-,62.2,37.8,35.3,2.5,Male (Asian Alone),,,,
25 to 29 years old,677,22,-,-,-,22,78,74.4,3.6,Male (Asian Alone),,,,
30 to 34 years old,700,3.7,-,-,-,3.7,96.3,93.4,3,Male (Asian Alone),,,,
35 to 44 years old,"1,278",3.8,-,0.2,0.3,3.2,96.2,90.9,5.3,Male (Asian Alone),,,,
45 to 54 years old,"1,060",1.5,-,0.2,-,1.3,98.5,89.6,8.9,Male (Asian Alone),,,,
55 years old and over,"1,676",0.4,-,-,0.2,0.2,99.6,86.9,12.7,Male (Asian Alone),,,,
Total,"8,734",25.4,2.4,9.4,5.1,8.5,74.6,64.1,10.5,Female (Asian Alone),,,,
3 and 4 years old,253,53.8,53.8,-,-,-,46.2,-,46.2,Female (Asian Alone),,,,
5 and 6 years old,174,89.8,43.5,46.3,-,-,10.2,-,10.2,Female (Asian Alone),,,,
7 to 9 years old,325,94.9,-,94.9,-,-,5.1,-,5.1,Female (Asian Alone),,,,
10 to 13 years old,412,97.8,-,96.6,1.2,-,2.2,-,2.2,Female (Asian Alone),,,,
14 and 15 years old,204,96.3,-,9.6,86.7,-,3.7,-,3.7,Female (Asian Alone),,,,
16 and 17 years old,233,95.5,-,4.1,89.3,2.1,4.5,4.5,-,Female (Asian Alone),,,,
18 and 19 years old,175,88.7,-,-,11.6,77,11.3,11.3,-,Female (Asian Alone),,,,
20 and 21 years old,202,77.8,-,-,5,72.8,22.2,21.1,1.1,Female (Asian Alone),,,,
22 to 24 years old,404,50.7,-,0.4,2.9,47.5,49.3,48.8,0.5,Female (Asian Alone),,,,
25 to 29 years old,752,16.7,-,-,0.2,16.5,83.3,80.1,3.2,Female (Asian Alone),,,,
30 to 34 years old,781,7,-,-,-,7,93,86.6,6.4,Female (Asian Alone),,,,
35 to 44 years old,"1,475",4.4,-,-,0.3,4.1,95.6,88.6,7,Female (Asian Alone),,,,
45 to 54 years old,"1,237",2,-,-,0.4,1.7,98,87.4,10.6,Female (Asian Alone),,,,
55 years old and over,"2,108",0.4,-,-,-,0.4,99.6,78.8,20.8,Female (Asian Alone),,,,
=======
Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,16509,4449,26.9,436,2.6,1643,10,827,5,1543,9.3,12060,73.1,10554,63.9,1506,9.1,Both Sexes (Asian Alone)
3 and 4 years old,478,257,53.9,257,53.9,0,0,0,0,0,0,220,46.1,0,0,220,46.1,Both Sexes (Asian Alone)
5 and 6 years old,370,335,90.5,179,48.3,156,42.2,0,0,0,0,35,9.5,0,0,35,9.5,Both Sexes (Asian Alone)
7 to 9 years old,649,625,96.3,0,0,625,96.3,0,0,0,0,24,3.7,0,0,24,3.7,Both Sexes (Asian Alone)
10 to 13 years old,821,800,97.5,0,0,792,96.5,8,1,0,0,20,2.5,0,0,20,2.5,Both Sexes (Asian Alone)
14 and 15 years old,422,403,95.5,0,0,50,11.9,350,83,3,0.6,19,4.5,0,0,19,4.5,Both Sexes (Asian Alone)
16 and 17 years old,437,413,94.5,0,0,10,2.2,387,88.6,16,3.7,24,5.5,18,4.2,6,1.3,Both Sexes (Asian Alone)
18 and 19 years old,352,310,88.1,0,0,0,0,40,11.3,270,76.8,42,11.9,42,11.9,0,0,Both Sexes (Asian Alone)
20 and 21 years old,423,321,75.8,0,0,4,0.9,12,2.8,305,72.1,102,24.2,97,22.9,5,1.2,Both Sexes (Asian Alone)
22 to 24 years old,814,460,56.5,0,0,1,0.2,12,1.4,447,54.9,354,43.5,342,42,12,1.5,Both Sexes (Asian Alone)
25 to 29 years old,1429,275,19.2,0,0,0,0,1,0.1,273,19.1,1154,80.8,1106,77.4,48,3.4,Both Sexes (Asian Alone)
30 to 34 years old,1481,80,5.4,0,0,0,0,0,0,80,5.4,1401,94.6,1330,89.8,70,4.8,Both Sexes (Asian Alone)
35 to 44 years old,2753,113,4.1,0,0,3,0.1,9,0.3,101,3.7,2640,95.9,2469,89.7,171,6.2,Both Sexes (Asian Alone)
45 to 54 years old,2297,42,1.8,0,0,2,0.1,4,0.2,35,1.5,2255,98.2,2031,88.4,224,9.8,Both Sexes (Asian Alone)
55 years old and over,3784,15,0.4,0,0,0,0,3,0.1,12,0.3,3769,99.6,3118,82.4,651,17.2,Both Sexes (Asian Alone)
Total,7775,2231,28.7,224,2.9,826,10.6,385,4.9,797,10.2,5544,71.3,4955,63.7,589,7.6,Male (Asian Alone)
3 and 4 years old,224,121,53.9,121,53.9,0,0,0,0,0,0,103,46.1,0,0,103,46.1,Male (Asian Alone)
5 and 6 years old,196,179,91.2,103,52.6,76,38.6,0,0,0,0,17,8.8,0,0,17,8.8,Male (Asian Alone)
7 to 9 years old,324,317,97.8,0,0,317,97.8,0,0,0,0,7,2.2,0,0,7,2.2,Male (Asian Alone)
10 to 13 years old,408,397,97.2,0,0,393,96.4,3,0.8,0,0,11,2.8,0,0,11,2.8,Male (Asian Alone)
14 and 15 years old,219,207,94.7,0,0,31,14,174,79.5,3,1.3,11,5.3,0,0,11,5.3,Male (Asian Alone)
16 and 17 years old,204,191,93.3,0,0,0,0,179,87.8,11,5.5,14,6.7,8,3.8,6,2.9,Male (Asian Alone)
18 and 19 years old,177,155,87.5,0,0,0,0,19,11,136,76.5,22,12.5,22,12.5,0,0,Male (Asian Alone)
20 and 21 years old,222,164,74,0,0,4,1.6,2,0.8,158,71.5,58,26,55,24.6,3,1.4,Male (Asian Alone)
22 to 24 years old,410,255,62.2,0,0,0,0,0,0,255,62.2,155,37.8,145,35.3,10,2.5,Male (Asian Alone)
25 to 29 years old,677,149,22,0,0,0,0,0,0,149,22,528,78,503,74.4,24,3.6,Male (Asian Alone)
30 to 34 years old,700,26,3.7,0,0,0,0,0,0,26,3.7,674,96.3,654,93.4,21,3,Male (Asian Alone)
35 to 44 years old,1278,48,3.8,0,0,3,0.2,4,0.3,42,3.2,1230,96.2,1162,90.9,68,5.3,Male (Asian Alone)
45 to 54 years old,1060,16,1.5,0,0,2,0.2,0,0,14,1.3,1043,98.5,949,89.6,94,8.9,Male (Asian Alone)
55 years old and over,1676,6,0.4,0,0,0,0,3,0.2,3,0.2,1669,99.6,1456,86.9,213,12.7,Male (Asian Alone)
Total,8734,2218,25.4,212,2.4,818,9.4,442,5.1,746,8.5,6516,74.6,5599,64.1,917,10.5,Female (Asian Alone)
3 and 4 years old,253,136,53.8,136,53.8,0,0,0,0,0,0,117,46.2,0,0,117,46.2,Female (Asian Alone)
5 and 6 years old,174,156,89.8,76,43.5,80,46.3,0,0,0,0,18,10.2,0,0,18,10.2,Female (Asian Alone)
7 to 9 years old,325,308,94.9,0,0,308,94.9,0,0,0,0,17,5.1,0,0,17,5.1,Female (Asian Alone)
10 to 13 years old,412,403,97.8,0,0,398,96.6,5,1.2,0,0,9,2.2,0,0,9,2.2,Female (Asian Alone)
14 and 15 years old,204,196,96.3,0,0,20,9.6,177,86.7,0,0,7,3.7,0,0,7,3.7,Female (Asian Alone)
16 and 17 years old,233,222,95.5,0,0,10,4.1,208,89.3,5,2.1,11,4.5,11,4.5,0,0,Female (Asian Alone)
18 and 19 years old,175,155,88.7,0,0,0,0,20,11.6,134,77,20,11.3,20,11.3,0,0,Female (Asian Alone)
20 and 21 years old,202,157,77.8,0,0,0,0,10,5,147,72.8,45,22.2,43,21.1,2,1.1,Female (Asian Alone)
22 to 24 years old,404,205,50.7,0,0,1,0.4,12,2.9,192,47.5,199,49.3,197,48.8,2,0.5,Female (Asian Alone)
25 to 29 years old,752,126,16.7,0,0,0,0,1,0.2,124,16.5,627,83.3,603,80.1,24,3.2,Female (Asian Alone)
30 to 34 years old,781,55,7,0,0,0,0,0,0,55,7,726,93,676,86.6,50,6.4,Female (Asian Alone)
35 to 44 years old,1475,65,4.4,0,0,0,0,5,0.3,60,4.1,1410,95.6,1307,88.6,103,7,Female (Asian Alone)
45 to 54 years old,1237,25,2,0,0,0,0,4,0.4,21,1.7,1212,98,1081,87.4,131,10.6,Female (Asian Alone)
55 years old and over,2108,8,0.4,0,0,0,0,0,0,8,0.4,2100,99.6,1662,78.8,438,20.8,Female (Asian Alone)
>>>>>>> Grant fixed the csv files and did work on the visual
