<<<<<<< 9a1930ccda09eaeacbf03736afd455084bebab35
Ages,Population,PercentTotalEnrolled,PercentNurseKinder,PercentElementary,PercentHS,PercentCollege,PercentTotalNotEnrolled,PercentHSGrad,PercentNotHSGrad,Gender,,,,,
Total,"18,216",29.4,3.2,11.4,5.4,9.4,70.6,61.7,8.9,Both Sexes (Asian Alone or in Combination),,,,,
3 and 4 years old,602,54.2,54.2,-,-,-,45.8,-,45.8,Both Sexes (Asian Alone or in Combination),,,,,
5 and 6 years old,521,89.3,47.5,41.9,-,-,10.7,-,10.7,Both Sexes (Asian Alone or in Combination),,,,,
7 to 9 years old,818,97,0.2,96.8,-,-,3,-,3,Both Sexes (Asian Alone or in Combination),,,,,
10 to 13 years old,"1,019",97.7,-,96.9,0.8,-,2.3,-,2.3,Both Sexes (Asian Alone or in Combination),,,,,
14 and 15 years old,519,96.3,-,11.6,84.2,0.5,3.7,-,3.7,Both Sexes (Asian Alone or in Combination),,,,,
16 and 17 years old,498,93.8,-,1.9,88.6,3.2,6.2,4.9,1.3,Both Sexes (Asian Alone or in Combination),,,,,
18 and 19 years old,407,85.9,-,-,13,72.8,14.1,14.1,-,Both Sexes (Asian Alone or in Combination),,,,,
20 and 21 years old,491,73.7,-,0.7,2.4,70.5,26.3,25.2,1.1,Both Sexes (Asian Alone or in Combination),,,,,
22 to 24 years old,946,53.9,-,0.2,2,51.8,46.1,44.8,1.3,Both Sexes (Asian Alone or in Combination),,,,12.298,0.090605967
25 to 29 years old,"1,598",19.5,-,-,0.1,19.4,80.5,76.8,3.7,Both Sexes (Asian Alone or in Combination),,,,59.126,
30 to 34 years old,"1,594",5.6,-,-,-,5.6,94.4,89.6,4.7,Both Sexes (Asian Alone or in Combination),,,,74.918,
35 to 44 years old,"2,924",4.1,-,0.1,0.3,3.7,95.9,89.7,6.2,Both Sexes (Asian Alone or in Combination),,,,181.288,
45 to 54 years old,"2,398",2,-,0.1,0.2,1.7,98,88.6,9.4,Both Sexes (Asian Alone or in Combination),,,,225.412,
55 years old and over,"3,879",0.4,-,-,0.1,0.3,99.6,82.7,16.9,Both Sexes (Asian Alone or in Combination),,,,655.551,
Total,"8,601",31.1,3.5,12,5.4,10.2,68.9,61.5,7.4,Male (Asian Alone or in Combination),,,,,
3 and 4 years old,283,55.3,55.3,-,-,-,44.7,-,44.7,Male (Asian Alone or in Combination),,,,,
5 and 6 years old,272,92,52.6,39.4,-,-,8,-,8,Male (Asian Alone or in Combination),,,,118.7632,
7 to 9 years old,408,98.3,0.3,98,-,-,1.7,-,1.7,Male (Asian Alone or in Combination),,,,,
10 to 13 years old,499,97.7,-,97,0.7,-,2.3,-,2.3,Male (Asian Alone or in Combination),,,,,
14 and 15 years old,263,95.6,-,12.9,81.7,1,4.4,-,4.4,Male (Asian Alone or in Combination),,,,,
16 and 17 years old,227,94,-,-,89.1,4.9,6,3.4,2.6,Male (Asian Alone or in Combination),,,,,
18 and 19 years old,206,85.2,-,-,14.3,71,14.8,14.8,-,Male (Asian Alone or in Combination),,,,,
20 and 21 years old,253,71.3,-,1.4,0.7,69.2,28.7,27.5,1.2,Male (Asian Alone or in Combination),,,,,
22 to 24 years old,473,59.2,-,-,0.4,58.8,40.8,38.6,2.1,Male (Asian Alone or in Combination),,,,,
25 to 29 years old,767,21.6,-,-,-,21.6,78.4,74.1,4.3,Male (Asian Alone or in Combination),,,,,
30 to 34 years old,739,4.1,-,-,-,4.1,95.9,93.1,2.8,Male (Asian Alone or in Combination),,,,,
35 to 44 years old,"1,353",3.8,-,0.2,0.3,3.3,96.2,90.7,5.5,Male (Asian Alone or in Combination),,,,,
45 to 54 years old,"1,120",2,-,0.2,-,1.8,98,89.6,8.4,Male (Asian Alone or in Combination),,,,,
55 years old and over,"1,738",0.4,-,-,0.2,0.2,99.6,87.2,12.5,Male (Asian Alone or in Combination),,,,,
Total,"9,615",27.9,2.8,10.9,5.5,8.7,72.1,61.9,10.2,Female (Asian Alone or in Combination),,,,,
3 and 4 years old,319,53.2,53.2,-,-,-,46.8,-,46.8,Female (Asian Alone or in Combination),,,,,
5 and 6 years old,248,86.4,41.8,44.6,-,-,13.6,-,13.6,Female (Asian Alone or in Combination),,,,,
7 to 9 years old,410,95.6,-,95.6,-,-,4.4,-,4.4,Female (Asian Alone or in Combination),,,,,
10 to 13 years old,520,97.8,-,96.9,1,-,2.2,-,2.2,Female (Asian Alone or in Combination),,,,,
14 and 15 years old,257,97.1,-,10.3,86.8,-,2.9,-,2.9,Female (Asian Alone or in Combination),,,,,
16 and 17 years old,271,93.6,-,3.5,88.3,1.8,6.4,6.2,0.3,Female (Asian Alone or in Combination),,,,,
18 and 19 years old,201,86.5,-,-,11.8,74.7,13.5,13.5,-,Female (Asian Alone or in Combination),,,,,
20 and 21 years old,238,76.2,-,-,4.3,72,23.8,22.9,0.9,Female (Asian Alone or in Combination),,,,,
22 to 24 years old,473,48.6,-,0.3,3.5,44.8,51.4,51,0.4,Female (Asian Alone or in Combination),,,,,
25 to 29 years old,832,17.6,-,-,0.2,17.4,82.4,79.3,3.2,Female (Asian Alone or in Combination),,,,,
30 to 34 years old,855,7,-,-,-,7,93,86.6,6.4,Female (Asian Alone or in Combination),,,,,
35 to 44 years old,"1,571",4.3,-,-,0.3,4,95.7,88.9,6.8,Female (Asian Alone or in Combination),,,,,
45 to 54 years old,"1,279",2,-,-,0.3,1.7,98,87.8,10.2,Female (Asian Alone or in Combination),,,,,
55 years old and over,"2,141",0.4,-,-,-,0.4,99.6,79,20.6,Female (Asian Alone or in Combination),,,,,
=======
Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,18216,5353,29.4,575,3.2,2078,11.4,988,5.4,1712,9.4,12863,70.6,11243,61.7,1620,8.9,Both Sexes (Asian Alone or in Combination)
3 and 4 years old,602,326,54.2,326,54.2,0,0,0,0,0,0,276,45.8,0,0,276,45.8,Both Sexes (Asian Alone or in Combination)
5 and 6 years old,521,465,89.3,247,47.5,218,41.9,0,0,0,0,56,10.7,0,0,56,10.7,Both Sexes (Asian Alone or in Combination)
7 to 9 years old,818,793,97,1,0.2,792,96.8,0,0,0,0,25,3,0,0,25,3,Both Sexes (Asian Alone or in Combination)
10 to 13 years old,1019,996,97.7,0,0,988,96.9,8,0.8,0,0,23,2.3,0,0,23,2.3,Both Sexes (Asian Alone or in Combination)
14 and 15 years old,519,500,96.3,0,0,60,11.6,437,84.2,3,0.5,19,3.7,0,0,19,3.7,Both Sexes (Asian Alone or in Combination)
16 and 17 years old,498,467,93.8,0,0,10,1.9,441,88.6,16,3.2,31,6.2,24,4.9,7,1.3,Both Sexes (Asian Alone or in Combination)
18 and 19 years old,407,349,85.9,0,0,0,0,53,13,296,72.8,58,14.1,58,14.1,0,0,Both Sexes (Asian Alone or in Combination)
20 and 21 years old,491,362,73.7,0,0,4,0.7,12,2.4,347,70.5,129,26.3,124,25.2,5,1.1,Both Sexes (Asian Alone or in Combination)
22 to 24 years old,946,510,53.9,0,0,1,0.2,19,2,490,51.8,436,46.1,424,44.8,12,1.3,Both Sexes (Asian Alone or in Combination)
25 to 29 years old,1598,312,19.5,0,0,0,0,1,0.1,310,19.4,1287,80.5,1227,76.8,59,3.7,Both Sexes (Asian Alone or in Combination)
30 to 34 years old,1594,90,5.6,0,0,0,0,0,0,90,5.6,1504,94.4,1429,89.6,76,4.7,Both Sexes (Asian Alone or in Combination)
35 to 44 years old,2924,119,4.1,0,0,3,0.1,9,0.3,108,3.7,2805,95.9,2624,89.7,181,6.2,Both Sexes (Asian Alone or in Combination)
45 to 54 years old,2398,48,2,0,0,2,0.1,4,0.2,41,1.7,2350,98,2126,88.6,224,9.4,Both Sexes (Asian Alone or in Combination)
55 years old and over,3879,15,0.4,0,0,0,0,3,0.1,12,0.3,3864,99.6,3207,82.7,657,16.9,Both Sexes (Asian Alone or in Combination)
Total,8601,2673,31.1,301,3.5,1033,12,460,5.4,878,10.2,5928,68.9,5292,61.5,636,7.4,Male (Asian Alone or in Combination)
3 and 4 years old,283,157,55.3,157,55.3,0,0,0,0,0,0,127,44.7,0,0,127,44.7,Male (Asian Alone or in Combination)
5 and 6 years old,272,250,92,143,52.6,107,39.4,0,0,0,0,22,8,0,0,22,8,Male (Asian Alone or in Combination)
7 to 9 years old,408,401,98.3,1,0.3,400,98,0,0,0,0,7,1.7,0,0,7,1.7,Male (Asian Alone or in Combination)
10 to 13 years old,499,487,97.7,0,0,484,97,3,0.7,0,0,12,2.3,0,0,12,2.3,Male (Asian Alone or in Combination)
14 and 15 years old,263,251,95.6,0,0,34,12.9,215,81.7,3,1,11,4.4,0,0,11,4.4,Male (Asian Alone or in Combination)
16 and 17 years old,227,213,94,0,0,0,0,202,89.1,11,4.9,14,6,8,3.4,6,2.6,Male (Asian Alone or in Combination)
18 and 19 years old,206,175,85.2,0,0,0,0,29,14.3,146,71,30,14.8,30,14.8,0,0,Male (Asian Alone or in Combination)
20 and 21 years old,253,181,71.3,0,0,4,1.4,2,0.7,175,69.2,73,28.7,70,27.5,3,1.2,Male (Asian Alone or in Combination)
22 to 24 years old,473,280,59.2,0,0,0,0,2,0.4,278,58.8,193,40.8,183,38.6,10,2.1,Male (Asian Alone or in Combination)
25 to 29 years old,767,166,21.6,0,0,0,0,0,0,166,21.6,601,78.4,568,74.1,33,4.3,Male (Asian Alone or in Combination)
30 to 34 years old,739,30,4.1,0,0,0,0,0,0,30,4.1,709,95.9,688,93.1,21,2.8,Male (Asian Alone or in Combination)
35 to 44 years old,1353,52,3.8,0,0,3,0.2,4,0.3,45,3.3,1301,96.2,1227,90.7,74,5.5,Male (Asian Alone or in Combination)
45 to 54 years old,1120,22,2,0,0,2,0.2,0,0,20,1.8,1097,98,1003,89.6,94,8.4,Male (Asian Alone or in Combination)
55 years old and over,1738,6,0.4,0,0,0,0,3,0.2,3,0.2,1731,99.6,1515,87.2,216,12.5,Male (Asian Alone or in Combination)
Total,9615,2681,27.9,274,2.8,1045,10.9,528,5.5,834,8.7,6934,72.1,5951,61.9,983,10.2,Female (Asian Alone or in Combination)
3 and 4 years old,319,170,53.2,170,53.2,0,0,0,0,0,0,149,46.8,0,0,149,46.8,Female (Asian Alone or in Combination)
5 and 6 years old,248,215,86.4,104,41.8,111,44.6,0,0,0,0,34,13.6,0,0,34,13.6,Female (Asian Alone or in Combination)
7 to 9 years old,410,392,95.6,0,0,392,95.6,0,0,0,0,18,4.4,0,0,18,4.4,Female (Asian Alone or in Combination)
10 to 13 years old,520,509,97.8,0,0,504,96.9,5,1,0,0,11,2.2,0,0,11,2.2,Female (Asian Alone or in Combination)
14 and 15 years old,257,249,97.1,0,0,26,10.3,223,86.8,0,0,7,2.9,0,0,7,2.9,Female (Asian Alone or in Combination)
16 and 17 years old,271,253,93.6,0,0,10,3.5,239,88.3,5,1.8,17,6.4,17,6.2,1,0.3,Female (Asian Alone or in Combination)
18 and 19 years old,201,174,86.5,0,0,0,0,24,11.8,150,74.7,27,13.5,27,13.5,0,0,Female (Asian Alone or in Combination)
20 and 21 years old,238,181,76.2,0,0,0,0,10,4.3,171,72,57,23.8,54,22.9,2,0.9,Female (Asian Alone or in Combination)
22 to 24 years old,473,230,48.6,0,0,1,0.3,17,3.5,212,44.8,243,51.4,241,51,2,0.4,Female (Asian Alone or in Combination)
25 to 29 years old,832,146,17.6,0,0,0,0,1,0.2,145,17.4,686,82.4,659,79.3,26,3.2,Female (Asian Alone or in Combination)
