<<<<<<< 9a1930ccda09eaeacbf03736afd455084bebab35
Ages,Population,PercentTotalEnrolled,PercentNurseKinder,PercentElementary,PercentHS,PercentCollege,PercentTotalNotEnrolled,PercentHSGrad,PercentNotHSGrad,Gender,,,,
Total,"39,021",30.2,3.7,12.4,6.6,7.5,69.8,58.3,11.5,Both Sexes (Black Alone),,,,
3 and 4 years old,"1,275",57.5,57.5,-,-,-,42.5,-,42.5,Both Sexes (Black Alone),,,,
5 and 6 years old,"1,262",94.5,54.4,40,-,-,5.5,-,5.5,Both Sexes (Black Alone),,,,
7 to 9 years old,"1,823",98.8,0.9,97.8,-,-,1.2,-,1.2,Both Sexes (Black Alone),,,,
10 to 13 years old,"2,422",97.7,-,95.4,2.3,-,2.3,-,2.3,Both Sexes (Black Alone),,,,
14 and 15 years old,"1,269",98.9,-,18.1,80.3,0.5,1.1,-,1.1,Both Sexes (Black Alone),,,,
16 and 17 years old,"1,244",91.8,-,-,87.9,3.9,8.2,1.1,7.1,Both Sexes (Black Alone),,,,
18 and 19 years old,"1,251",65.2,-,-,24.5,40.7,34.8,27.3,7.5,Both Sexes (Black Alone),,,,
20 and 21 years old,"1,398",41.1,-,-,2.7,38.4,58.9,49.4,9.5,Both Sexes (Black Alone),,,,
22 to 24 years old,"2,054",24.5,-,-,1,23.5,75.5,69.8,5.8,Both Sexes (Black Alone),,119.132,,
25 to 29 years old,"3,013",14.6,-,-,0.8,13.7,85.4,74.3,11.1,Both Sexes (Black Alone),,334.443,,
30 to 34 years old,"2,772",9.1,-,0.3,-,8.7,90.9,82.4,8.6,Both Sexes (Black Alone),,238.392,0.128335943,
35 to 44 years old,"5,181",8.2,-,0.1,0.1,8,91.8,82.2,9.6,Both Sexes (Black Alone),,497.376,,
45 to 54 years old,"5,377",4.5,-,-,0.2,4.3,95.5,85.6,9.9,Both Sexes (Black Alone),,532.323,,
55 years old and over,"8,679",0.6,-,-,0.1,0.6,99.4,79.2,20.2,Both Sexes (Black Alone),,1753.158,,
Total,"18,134",31.2,4,13.8,7.1,6.2,68.8,57,11.9,Male (Black Alone),,,,75.6756
3 and 4 years old,639,58,58,-,-,-,42,-,42,Male (Black Alone),,118.1598,,
5 and 6 years old,622,96.1,56.3,39.8,-,-,3.9,-,3.9,Male (Black Alone),,,,
7 to 9 years old,942,98.6,0.9,97.7,-,-,1.4,-,1.4,Male (Black Alone),,,,
10 to 13 years old,"1,228",97.3,-,95.6,1.7,-,2.7,-,2.7,Male (Black Alone),,,,
14 and 15 years old,642,98.7,-,23,74.7,0.9,1.3,-,1.3,Male (Black Alone),,,,
16 and 17 years old,623,92.6,-,-,87.5,5.1,7.4,1.2,6.3,Male (Black Alone),,,,
18 and 19 years old,617,60.3,-,-,31.9,28.4,39.7,30.6,9.1,Male (Black Alone),,,,
20 and 21 years old,636,41.8,-,-,3.5,38.3,58.2,49.3,8.9,Male (Black Alone),,,,
22 to 24 years old,"1,037",22.2,-,-,1.5,20.6,77.8,72.6,5.2,Male (Black Alone),,,,
25 to 29 years old,"1,405",11.6,-,-,-,11.6,88.4,75.1,13.3,Male (Black Alone),,,,
30 to 34 years old,"1,254",7,-,0.7,-,6.3,93,82.7,10.3,Male (Black Alone),,,,
35 to 44 years old,"2,326",6.3,-,0.2,-,6.1,93.7,82.9,10.9,Male (Black Alone),,,,
45 to 54 years old,"2,449",2.6,-,-,-,2.6,97.4,86.9,10.5,Male (Black Alone),,,,
55 years old and over,"3,715",0.6,-,-,0.2,0.4,99.4,78.6,20.8,Male (Black Alone),,,,
Total,"20,887",29.4,3.4,11.2,6.2,8.6,70.6,59.4,11.2,Female (Black Alone),,,,
3 and 4 years old,636,57,57,-,-,-,43,-,43,Female (Black Alone),,,,
5 and 6 years old,640,92.9,52.6,40.3,-,-,7.1,-,7.1,Female (Black Alone),,,,
7 to 9 years old,882,98.9,1,97.9,-,-,1.1,-,1.1,Female (Black Alone),,,,
10 to 13 years old,"1,194",98,-,95.2,2.8,-,2,-,2,Female (Black Alone),,,,
14 and 15 years old,627,99.1,-,13.1,86,-,0.9,-,0.9,Female (Black Alone),,,,
16 and 17 years old,621,91,-,-,88.3,2.7,9,1.1,7.9,Female (Black Alone),,,,
18 and 19 years old,635,70.1,-,-,17.4,52.7,29.9,24,6,Female (Black Alone),,,,
20 and 21 years old,762,40.5,-,-,2.1,38.5,59.5,49.4,10,Female (Black Alone),,,,
22 to 24 years old,"1,018",26.8,-,-,0.5,26.3,73.2,66.8,6.4,Female (Black Alone),,,,
25 to 29 years old,"1,608",17.2,-,-,1.6,15.7,82.8,73.7,9.1,Female (Black Alone),,,,
30 to 34 years old,"1,518",10.8,-,-,-,10.8,89.2,82.1,7.1,Female (Black Alone),,,,
35 to 44 years old,"2,855",9.8,-,-,0.2,9.5,90.2,81.7,8.6,Female (Black Alone),,,,
45 to 54 years old,"2,928",6.1,-,-,0.3,5.8,93.9,84.5,9.4,Female (Black Alone),,,,
55 years old and over,"4,964",0.7,-,-,-,0.7,99.3,79.5,19.8,Female (Black Alone),,,,
=======
Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,39021,11796,30.2,1437,3.7,4844,12.4,2581,6.6,2934,7.5,27226,69.8,22734,58.3,4492,11.5,Both Sexes (Black Alone)
3 and 4 years old,1275,733,57.5,733,57.5,0,0,0,0,0,0,542,42.5,0,0,542,42.5,Both Sexes (Black Alone)
5 and 6 years old,1262,1192,94.5,687,54.4,505,40,0,0,0,0,70,5.5,0,0,70,5.5,Both Sexes (Black Alone)
7 to 9 years old,1823,1801,98.8,17,0.9,1784,97.8,0,0,0,0,23,1.2,0,0,23,1.2,Both Sexes (Black Alone)
10 to 13 years old,2422,2366,97.7,0,0,2311,95.4,55,2.3,0,0,56,2.3,0,0,56,2.3,Both Sexes (Black Alone)
14 and 15 years old,1269,1255,98.9,0,0,230,18.1,1020,80.3,6,0.5,14,1.1,0,0,14,1.1,Both Sexes (Black Alone)
16 and 17 years old,1244,1142,91.8,0,0,0,0,1094,87.9,48,3.9,102,8.2,14,1.1,88,7.1,Both Sexes (Black Alone)
18 and 19 years old,1251,817,65.2,0,0,0,0,307,24.5,510,40.7,435,34.8,341,27.3,94,7.5,Both Sexes (Black Alone)
20 and 21 years old,1398,574,41.1,0,0,0,0,38,2.7,537,38.4,824,58.9,691,49.4,133,9.5,Both Sexes (Black Alone)
22 to 24 years old,2054,503,24.5,0,0,0,0,20,1,482,23.5,1552,75.5,1433,69.8,119,5.8,Both Sexes (Black Alone)
25 to 29 years old,3013,439,14.6,0,0,0,0,25,0.8,414,13.7,2574,85.4,2240,74.3,334,11.1,Both Sexes (Black Alone)
30 to 34 years old,2772,252,9.1,0,0,9,0.3,0,0,242,8.7,2520,90.9,2283,82.4,237,8.6,Both Sexes (Black Alone)
35 to 44 years old,5181,424,8.2,0,0,4,0.1,6,0.1,414,8,4757,91.8,4260,82.2,497,9.6,Both Sexes (Black Alone)
45 to 54 years old,5377,243,4.5,0,0,1,0,9,0.2,233,4.3,5133,95.5,4602,85.6,531,9.9,Both Sexes (Black Alone)
55 years old and over,8679,55,0.6,0,0,0,0,6,0.1,48,0.6,8624,99.4,6870,79.2,1754,20.2,Both Sexes (Black Alone)
Total,18134,5652,31.2,729,4,2504,13.8,1287,7.1,1132,6.2,12482,68.8,10332,57,2150,11.9,Male (Black Alone)
3 and 4 years old,639,371,58,371,58,0,0,0,0,0,0,269,42,0,0,269,42,Male (Black Alone)
5 and 6 years old,622,598,96.1,350,56.3,248,39.8,0,0,0,0,24,3.9,0,0,24,3.9,Male (Black Alone)
7 to 9 years old,942,928,98.6,8,0.9,920,97.7,0,0,0,0,13,1.4,0,0,13,1.4,Male (Black Alone)
10 to 13 years old,1228,1195,97.3,0,0,1174,95.6,21,1.7,0,0,33,2.7,0,0,33,2.7,Male (Black Alone)
14 and 15 years old,642,634,98.7,0,0,148,23,480,74.7,6,0.9,9,1.3,0,0,9,1.3,Male (Black Alone)
16 and 17 years old,623,577,92.6,0,0,0,0,545,87.5,32,5.1,46,7.4,7,1.2,39,6.3,Male (Black Alone)
18 and 19 years old,617,372,60.3,0,0,0,0,197,31.9,175,28.4,245,39.7,189,30.6,56,9.1,Male (Black Alone)
20 and 21 years old,636,266,41.8,0,0,0,0,22,3.5,244,38.3,370,58.2,314,49.3,57,8.9,Male (Black Alone)
22 to 24 years old,1037,230,22.2,0,0,0,0,16,1.5,214,20.6,807,77.8,753,72.6,54,5.2,Male (Black Alone)
25 to 29 years old,1405,162,11.6,0,0,0,0,0,0,162,11.6,1242,88.4,1055,75.1,187,13.3,Male (Black Alone)
30 to 34 years old,1254,88,7,0,0,9,0.7,0,0,79,6.3,1166,93,1037,82.7,129,10.3,Male (Black Alone)
35 to 44 years old,2326,146,6.3,0,0,4,0.2,0,0,142,6.1,2181,93.7,1928,82.9,253,10.9,Male (Black Alone)
45 to 54 years old,2449,64,2.6,0,0,1,0,0,0,63,2.6,2384,97.4,2128,86.9,257,10.5,Male (Black Alone)
55 years old and over,3715,21,0.6,0,0,0,0,6,0.2,15,0.4,3693,99.4,2922,78.6,772,20.8,Male (Black Alone)
Total,20887,6143,29.4,708,3.4,2340,11.2,1294,6.2,1802,8.6,14744,70.6,12401,59.4,2342,11.2,Female (Black Alone)
3 and 4 years old,636,362,57,362,57,0,0,0,0,0,0,273,43,0,0,273,43,Female (Black Alone)
5 and 6 years old,640,594,92.9,337,52.6,258,40.3,0,0,0,0,46,7.1,0,0,46,7.1,Female (Black Alone)
7 to 9 years old,882,872,98.9,9,1,864,97.9,0,0,0,0,9,1.1,0,0,9,1.1,Female (Black Alone)
10 to 13 years old,1194,1171,98,0,0,1137,95.2,34,2.8,0,0,24,2,0,0,24,2,Female (Black Alone)
14 and 15 years old,627,622,99.1,0,0,82,13.1,540,86,0,0,5,0.9,0,0,5,0.9,Female (Black Alone)
16 and 17 years old,621,565,91,0,0,0,0,549,88.3,17,2.7,56,9,7,1.1,49,7.9,Female (Black Alone)
18 and 19 years old,635,445,70.1,0,0,0,0,110,17.4,334,52.7,190,29.9,152,24,38,6,Female (Black Alone)
20 and 21 years old,762,309,40.5,0,0,0,0,16,2.1,293,38.5,453,59.5,377,49.4,76,10,Female (Black Alone)
22 to 24 years old,1018,273,26.8,0,0,0,0,5,0.5,268,26.3,745,73.2,680,66.8,65,6.4,Female (Black Alone)
