<<<<<<< 9a1930ccda09eaeacbf03736afd455084bebab35
Ages,Population,PercentTotalEnrolled,PercentNurseKinder,PercentElementary,PercentHS,PercentCollege,PercentTotalNotEnrolled,PercentHSGrad,PercentNotHSGrad,Gender,,,,,
Total,"42,064",31.8,4,13.6,6.9,7.4,68.2,56.8,11.4,Both Sexes (Black Alone or in Combination),,,,,
3 and 4 years old,"1,479",56.9,56.9,-,-,-,43.1,-,43.1,Both Sexes (Black Alone or in Combination),,,,,
5 and 6 years old,"1,498",94.6,53.9,40.7,-,-,5.4,-,5.4,Both Sexes (Black Alone or in Combination),,,,,
7 to 9 years old,"2,186",98.8,0.9,97.9,-,-,1.2,-,1.2,Both Sexes (Black Alone or in Combination),,,,,
10 to 13 years old,"2,819",97.8,-,95.5,2.3,-,2.2,-,2.2,Both Sexes (Black Alone or in Combination),,,,,
14 and 15 years old,"1,402",98.7,-,18.7,79.6,0.4,1.3,-,1.3,Both Sexes (Black Alone or in Combination),,,,,
16 and 17 years old,"1,437",91.7,-,-,88.2,3.5,8.3,1.3,7.1,Both Sexes (Black Alone or in Combination),,,,,
18 and 19 years old,"1,384",64.8,-,-,24.9,39.9,35.2,27.5,7.7,Both Sexes (Black Alone or in Combination),,,,,
20 and 21 years old,"1,511",39.7,-,-,2.5,37.2,60.3,51.1,9.2,Both Sexes (Black Alone or in Combination),,,,,
22 to 24 years old,"2,226",24.7,-,-,0.9,23.8,75.3,69.9,5.4,Both Sexes (Black Alone or in Combination),,,,120.204,
25 to 29 years old,"3,241",14.2,-,-,0.8,13.3,85.8,74.3,11.5,Both Sexes (Black Alone or in Combination),,,,372.715,
30 to 34 years old,"2,983",9,-,0.3,-,8.7,91,82.8,8.2,Both Sexes (Black Alone or in Combination),,,,244.606,
35 to 44 years old,"5,448",7.9,-,0.1,0.1,7.7,92.1,82.4,9.7,Both Sexes (Black Alone or in Combination),,,,528.456,
45 to 54 years old,"5,523",4.5,-,-,0.2,4.3,95.5,85.7,9.9,Both Sexes (Black Alone or in Combination),,,,546.777,
55 years old and over,"8,928",0.6,-,-,0.1,0.6,99.4,79.2,20.2,Both Sexes (Black Alone or in Combination),,,,1803.456,0.127560549
Total,"19,551",32.8,4.3,15.1,7.3,6,67.2,55.4,11.9,Male (Black Alone or in Combination),,,,,
3 and 4 years old,758,56.4,56.4,-,-,-,43.6,-,43.6,Male (Black Alone or in Combination),,,,,
5 and 6 years old,721,95.7,55,40.7,-,-,4.3,-,4.3,Male (Black Alone or in Combination),,,,,
7 to 9 years old,"1,122",98.8,1,97.8,-,-,1.2,-,1.2,Male (Black Alone or in Combination),,,,123.5802,
10 to 13 years old,"1,453",97.8,-,95.7,2.1,-,2.2,-,2.2,Male (Black Alone or in Combination),,,,,
14 and 15 years old,700,98.4,-,23.6,74,0.8,1.6,-,1.6,Male (Black Alone or in Combination),,,,,
16 and 17 years old,707,91.7,-,-,86.9,4.8,8.3,1,7.3,Male (Black Alone or in Combination),,,,,
18 and 19 years old,679,61.1,-,-,32.8,28.4,38.9,29.2,9.7,Male (Black Alone or in Combination),,,,,
20 and 21 years old,679,39.2,-,-,3.3,35.9,60.8,51.5,9.3,Male (Black Alone or in Combination),,,,,
22 to 24 years old,"1,094",21.9,-,-,1.4,20.4,78.1,73.2,4.9,Male (Black Alone or in Combination),,,,,
25 to 29 years old,"1,499",11.6,-,-,-,11.6,88.4,74.4,14,Male (Black Alone or in Combination),,,,,
30 to 34 years old,"1,353",7.2,-,0.7,-,6.5,92.8,83.2,9.7,Male (Black Alone or in Combination),,,,,
35 to 44 years old,"2,450",5.9,-,0.2,-,5.8,94.1,82.8,11.3,Male (Black Alone or in Combination),,,,,
45 to 54 years old,"2,504",2.6,-,-,-,2.5,97.4,87,10.4,Male (Black Alone or in Combination),,,,,
55 years old and over,"3,832",0.6,-,-,0.2,0.4,99.4,78.8,20.6,Male (Black Alone or in Combination),,,,,
Total,"22,514",31,3.7,12.3,6.5,8.5,69,58.1,10.9,Female (Black Alone or in Combination),,,,,
3 and 4 years old,721,57.4,57.4,-,-,-,42.6,-,42.6,Female (Black Alone or in Combination),,,,,
5 and 6 years old,777,93.6,53,40.6,-,-,6.4,-,6.4,Female (Black Alone or in Combination),,,,,
7 to 9 years old,"1,064",98.9,0.8,98,-,-,1.1,-,1.1,Female (Black Alone or in Combination),,,,,
10 to 13 years old,"1,365",97.9,-,95.4,2.5,-,2.1,-,2.1,Female (Black Alone or in Combination),,,,,
14 and 15 years old,701,99.1,-,13.9,85.1,-,0.9,-,0.9,Female (Black Alone or in Combination),,,,,
16 and 17 years old,730,91.6,-,-,89.4,2.3,8.4,1.5,6.9,Female (Black Alone or in Combination),,,,,
18 and 19 years old,705,68.4,-,-,17.3,51.1,31.6,25.8,5.7,Female (Black Alone or in Combination),,,,,
20 and 21 years old,832,40.1,-,-,1.9,38.2,59.9,50.7,9.2,Female (Black Alone or in Combination),,,,,
22 to 24 years old,"1,132",27.5,-,-,0.4,27.1,72.5,66.6,5.8,Female (Black Alone or in Combination),,,,,
25 to 29 years old,"1,742",16.4,-,-,1.5,14.9,83.6,74.2,9.4,Female (Black Alone or in Combination),,,,,
30 to 34 years old,"1,630",10.5,-,-,-,10.5,89.5,82.6,6.9,Female (Black Alone or in Combination),,,,,
35 to 44 years old,"2,998",9.5,-,-,0.2,9.3,90.5,82.1,8.4,Female (Black Alone or in Combination),,,,,
45 to 54 years old,"3,019",6,-,-,0.3,5.7,94,84.6,9.4,Female (Black Alone or in Combination),,,,,
55 years old and over,"5,096",0.7,-,-,-,0.7,99.3,79.5,19.8,Female (Black Alone or in Combination),,,,,
=======
Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,42064,13387,31.8,1670,4,5720,13.6,2898,6.9,3099,7.4,28677,68.2,23897,56.8,4780,11.4,Both Sexes (Black Alone or in Combination)
3 and 4 years old,1479,842,56.9,842,56.9,0,0,0,0,0,0,637,43.1,0,0,637,43.1,Both Sexes (Black Alone or in Combination)
5 and 6 years old,1498,1417,94.6,808,53.9,609,40.7,0,0,0,0,81,5.4,0,0,81,5.4,Both Sexes (Black Alone or in Combination)
7 to 9 years old,2186,2161,98.8,20,0.9,2141,97.9,0,0,0,0,26,1.2,0,0,26,1.2,Both Sexes (Black Alone or in Combination)
10 to 13 years old,2819,2757,97.8,0,0,2693,95.5,64,2.3,0,0,61,2.2,0,0,61,2.2,Both Sexes (Black Alone or in Combination)
14 and 15 years old,1402,1384,98.7,0,0,263,18.7,1115,79.6,6,0.4,18,1.3,0,0,18,1.3,Both Sexes (Black Alone or in Combination)
16 and 17 years old,1437,1317,91.7,0,0,0,0,1267,88.2,50,3.5,120,8.3,18,1.3,102,7.1,Both Sexes (Black Alone or in Combination)
18 and 19 years old,1384,898,64.8,0,0,0,0,345,24.9,553,39.9,486,35.2,380,27.5,106,7.7,Both Sexes (Black Alone or in Combination)
20 and 21 years old,1511,600,39.7,0,0,0,0,38,2.5,562,37.2,911,60.3,772,51.1,140,9.2,Both Sexes (Black Alone or in Combination)
22 to 24 years old,2226,551,24.7,0,0,0,0,20,0.9,530,23.8,1675,75.3,1555,69.9,120,5.4,Both Sexes (Black Alone or in Combination)
25 to 29 years old,3241,459,14.2,0,0,0,0,27,0.8,432,13.3,2782,85.8,2407,74.3,374,11.5,Both Sexes (Black Alone or in Combination)
30 to 34 years old,2983,268,9,0,0,9,0.3,0,0,259,8.7,2715,91,2471,82.8,244,8.2,Both Sexes (Black Alone or in Combination)
35 to 44 years old,5448,430,7.9,0,0,4,0.1,6,0.1,420,7.7,5018,92.1,4491,82.4,528,9.7,Both Sexes (Black Alone or in Combination)
45 to 54 years old,5523,247,4.5,0,0,1,0,9,0.2,237,4.3,5276,95.5,4731,85.7,545,9.9,Both Sexes (Black Alone or in Combination)
55 years old and over,8928,57,0.6,0,0,0,0,6,0.1,50,0.6,8871,99.4,7072,79.2,1799,20.2,Both Sexes (Black Alone or in Combination)
Total,19551,6407,32.8,835,4.3,2962,15.1,1429,7.3,1181,6,13144,67.2,10823,55.4,2321,11.9,Male (Black Alone or in Combination)
3 and 4 years old,758,428,56.4,428,56.4,0,0,0,0,0,0,330,43.6,0,0,330,43.6,Male (Black Alone or in Combination)
5 and 6 years old,721,690,95.7,397,55,294,40.7,0,0,0,0,31,4.3,0,0,31,4.3,Male (Black Alone or in Combination)
7 to 9 years old,1122,1109,98.8,11,1,1098,97.8,0,0,0,0,13,1.2,0,0,13,1.2,Male (Black Alone or in Combination)
10 to 13 years old,1453,1421,97.8,0,0,1391,95.7,30,2.1,0,0,33,2.2,0,0,33,2.2,Male (Black Alone or in Combination)
14 and 15 years old,700,689,98.4,0,0,165,23.6,518,74,6,0.8,11,1.6,0,0,11,1.6,Male (Black Alone or in Combination)
16 and 17 years old,707,648,91.7,0,0,0,0,614,86.9,34,4.8,59,8.3,7,1,52,7.3,Male (Black Alone or in Combination)
18 and 19 years old,679,415,61.1,0,0,0,0,222,32.8,192,28.4,264,38.9,198,29.2,66,9.7,Male (Black Alone or in Combination)
20 and 21 years old,679,266,39.2,0,0,0,0,22,3.3,244,35.9,413,60.8,350,51.5,63,9.3,Male (Black Alone or in Combination)
22 to 24 years old,1094,239,21.9,0,0,0,0,16,1.4,223,20.4,855,78.1,801,73.2,54,4.9,Male (Black Alone or in Combination)
25 to 29 years old,1499,173,11.6,0,0,0,0,0,0,173,11.6,1326,88.4,1116,74.4,210,14,Male (Black Alone or in Combination)
30 to 34 years old,1353,97,7.2,0,0,9,0.7,0,0,88,6.5,1256,92.8,1125,83.2,131,9.7,Male (Black Alone or in Combination)
35 to 44 years old,2450,146,5.9,0,0,4,0.2,0,0,142,5.8,2304,94.1,2028,82.8,276,11.3,Male (Black Alone or in Combination)
45 to 54 years old,2504,64,2.6,0,0,1,0,0,0,63,2.5,2439,97.4,2178,87,261,10.4,Male (Black Alone or in Combination)
55 years old and over,3832,21,0.6,0,0,0,0,6,0.2,15,0.4,3811,99.4,3020,78.8,790,20.6,Male (Black Alone or in Combination)
Total,22514,6981,31,835,3.7,2759,12.3,1469,6.5,1919,8.5,15533,69,13074,58.1,2459,10.9,Female (Black Alone or in Combination)
3 and 4 years old,721,414,57.4,414,57.4,0,0,0,0,0,0,307,42.6,0,0,307,42.6,Female (Black Alone or in Combination)
5 and 6 years old,777,727,93.6,411,53,316,40.6,0,0,0,0,50,6.4,0,0,50,6.4,Female (Black Alone or in Combination)
7 to 9 years old,1064,1052,98.9,9,0.8,1043,98,0,0,0,0,12,1.1,0,0,12,1.1,Female (Black Alone or in Combination)
10 to 13 years old,1365,1336,97.9,0,0,1303,95.4,34,2.5,0,0,29,2.1,0,0,29,2.1,Female (Black Alone or in Combination)
14 and 15 years old,701,695,99.1,0,0,98,13.9,597,85.1,0,0,7,0.9,0,0,7,0.9,Female (Black Alone or in Combination)
16 and 17 years old,730,669,91.6,0,0,0,0,652,89.4,17,2.3,61,8.4,11,1.5,50,6.9,Female (Black Alone or in Combination)
18 and 19 years old,705,483,68.4,0,0,0,0,122,17.3,360,51.1,223,31.6,182,25.8,41,5.7,Female (Black Alone or in Combination)
20 and 21 years old,832,334,40.1,0,0,0,0,16,1.9,318,38.2,499,59.9,422,50.7,76,9.2,Female (Black Alone or in Combination)
22 to 24 years old,1132,312,27.5,0,0,0,0,5,0.4,307,27.1,820,72.5,754,66.6,66,5.8,Female (Black Alone or in Combination)
25 to 29 years old,1742,286,16.4,0,0,0,0,27,1.5,259,14.9,1456,83.6,1292,74.2,164,9.4,Female (Black Alone or in Combination)
30 to 34 years old,1630,171,10.5,0,0,0,0,0,0,171,10.5,1459,89.5,1345,82.6,113,6.9,Female (Black Alone or in Combination)
35 to 44 years old,2998,284,9.5,0,0,0,0,6,0.2,278,9.3,2714,90.5,2462,82.1,252,8.4,Female (Black Alone or in Combination)
45 to 54 years old,3019,183,6,0,0,0,0,9,0.3,173,5.7,2837,94,2553,84.6,284,9.4,Female (Black Alone or in Combination)
55 years old and over,5096,35,0.7,0,0,0,0,0,0,35,0.7,5061,99.3,4052,79.5,1009,19.8,Female (Black Alone or in Combination)
>>>>>>> Grant fixed the csv files and did work on the visual
