<<<<<<< 9a1930ccda09eaeacbf03736afd455084bebab35
Ages,Population,PercentTotalEnrolled,PercentNurseKinder,PercentElementary,PercentHS,PercentCollege,PercentTotalNotEnrolled,PercentHSGrad,PercentNotHSGrad,Gender,,,,,
Total,"75,587",27.2,2.9,11.2,5.8,7.4,72.8,55.6,17.2,Both Sexes (Child of Foreign Born Parents),,,,,
3 and 4 years old,"2,169",53.9,53.9,-,-,-,46.1,-,46.1,Both Sexes (Child of Foreign Born Parents),,,,,
5 and 6 years old,"2,028",92.6,49.1,43.5,-,-,7.4,-,7.4,Both Sexes (Child of Foreign Born Parents),,,,,
7 to 9 years old,"3,133",97.5,0.3,97.2,-,-,2.5,-,2.5,Both Sexes (Child of Foreign Born Parents),,,,,
10 to 13 years old,"4,220",97.9,-,96.4,1.6,-,2.1,-,2.1,Both Sexes (Child of Foreign Born Parents),,,,,
14 and 15 years old,"2,163",96.5,-,16,80.2,0.3,3.5,-,3.5,Both Sexes (Child of Foreign Born Parents),,,,,
16 and 17 years old,"2,181",92.7,-,1.6,89,2.1,7.3,2.4,4.9,Both Sexes (Child of Foreign Born Parents),,,,,
18 and 19 years old,"2,158",73.6,-,0.3,17.3,56,26.4,20.1,6.3,Both Sexes (Child of Foreign Born Parents),,,,,
20 and 21 years old,"2,263",55.6,-,0.2,2.6,52.9,44.4,37.9,6.5,Both Sexes (Child of Foreign Born Parents),,,,,
22 to 24 years old,"3,537",35.9,-,0.1,1.2,34.7,64.1,53.4,10.7,Both Sexes (Child of Foreign Born Parents),,,,378.459,
25 to 29 years old,"6,103",14.4,-,0.1,0.5,13.9,85.6,71.8,13.8,Both Sexes (Child of Foreign Born Parents),,,,842.214,
30 to 34 years old,"6,249",6.2,-,0.4,0.2,5.6,93.8,76.3,17.6,Both Sexes (Child of Foreign Born Parents),,,,1099.824,
35 to 44 years old,"11,926",4.4,-,-,0.4,4,95.6,73.9,21.7,Both Sexes (Child of Foreign Born Parents),,,,2587.942,
45 to 54 years old,"10,465",2.4,-,0.1,0.5,1.8,97.6,75.2,22.5,Both Sexes (Child of Foreign Born Parents),,,,2354.625,
55 years old and over,"16,991",0.4,-,-,0.1,0.3,99.6,76.3,23.3,Both Sexes (Child of Foreign Born Parents),,,,3958.903,0.203035353
Total,"37,219",27,2.9,11.3,5.6,7.2,73,55.4,17.6,Male (Child of Foreign Born Parents),,,,,
3 and 4 years old,"1,089",49.2,49.2,-,-,-,50.8,-,50.8,Male (Child of Foreign Born Parents),,,,,
5 and 6 years old,999,94,53.7,40.3,-,-,6,-,6,Male (Child of Foreign Born Parents),,,,394.9527,
7 to 9 years old,"1,647",97.2,0.4,96.8,-,-,2.8,-,2.8,Male (Child of Foreign Born Parents),,,,,
10 to 13 years old,"2,077",96.7,-,95.7,1,-,3.3,-,3.3,Male (Child of Foreign Born Parents),,,,,
14 and 15 years old,"1,072",96.9,-,17.5,79.1,0.3,3.1,-,3.1,Male (Child of Foreign Born Parents),,,,,
16 and 17 years old,"1,057",90.1,-,0.7,87.1,2.3,9.9,2.8,7.1,Male (Child of Foreign Born Parents),,,,,
18 and 19 years old,"1,071",69.6,-,-,18.3,51.2,30.4,22.5,7.9,Male (Child of Foreign Born Parents),,,,,
20 and 21 years old,"1,286",51.4,-,0.3,2.7,48.4,48.6,42.3,6.3,Male (Child of Foreign Born Parents),,,,,
22 to 24 years old,"1,797",35.7,-,-,0.7,35,64.3,51.9,12.3,Male (Child of Foreign Born Parents),,,,,
25 to 29 years old,"3,114",14.9,-,-,0.2,14.7,85.1,70.3,14.7,Male (Child of Foreign Born Parents),,,,,
30 to 34 years old,"3,098",4.5,-,0.7,0.1,3.8,95.5,77.2,18.2,Male (Child of Foreign Born Parents),,,,,
35 to 44 years old,"6,003",3.5,-,-,0.4,3,96.5,72.9,23.6,Male (Child of Foreign Born Parents),,,,,
45 to 54 years old,"5,234",1.8,-,-,0.3,1.4,98.2,74.9,23.3,Male (Child of Foreign Born Parents),,,,,
55 years old and over,"7,675",0.4,-,-,0.1,0.2,99.6,77.9,21.7,Male (Child of Foreign Born Parents),,,,,
Total,"38,367",27.4,2.9,11,5.9,7.6,72.6,55.8,16.8,Female (Child of Foreign Born Parents),,,,,
3 and 4 years old,"1,080",58.6,58.6,-,-,-,41.4,-,41.4,Female (Child of Foreign Born Parents),,,,,
5 and 6 years old,"1,029",91.3,44.7,46.6,-,-,8.7,-,8.7,Female (Child of Foreign Born Parents),,,,,
7 to 9 years old,"1,486",97.9,0.2,97.7,-,-,2.1,-,2.1,Female (Child of Foreign Born Parents),,,,,
10 to 13 years old,"2,143",99.1,-,97,2.1,-,0.9,-,0.9,Female (Child of Foreign Born Parents),,,,,
14 and 15 years old,"1,091",96.2,-,14.5,81.2,0.4,3.8,-,3.8,Female (Child of Foreign Born Parents),,,,,
16 and 17 years old,"1,125",95.2,-,2.4,90.9,1.9,4.8,1.9,2.8,Female (Child of Foreign Born Parents),,,,,
18 and 19 years old,"1,086",77.6,-,0.6,16.3,60.7,22.4,17.7,4.8,Female (Child of Foreign Born Parents),,,,,
20 and 21 years old,977,61.2,-,-,2.4,58.8,38.8,32,6.8,Female (Child of Foreign Born Parents),,,,,
22 to 24 years old,"1,740",36.1,-,0.2,1.6,34.3,63.9,55,8.9,Female (Child of Foreign Born Parents),,,,,
25 to 29 years old,"2,989",14,-,0.2,0.8,13,86,73.3,12.8,Female (Child of Foreign Born Parents),,,,,
30 to 34 years old,"3,150",7.8,-,0.2,0.2,7.3,92.2,75.3,16.9,Female (Child of Foreign Born Parents),,,,,
35 to 44 years old,"5,923",5.2,-,-,0.3,5,94.8,75,19.8,Female (Child of Foreign Born Parents),,,,,
45 to 54 years old,"5,232",2.9,-,0.1,0.6,2.2,97.1,75.4,21.7,Female (Child of Foreign Born Parents),,,,,
55 years old and over,"9,316",0.4,-,-,-,0.4,99.6,75,24.6,Female (Child of Foreign Born Parents),,,,,
=======
Ages,Population,NumberTotalEnrolled,PercentTotalEnrolled,NumberNurseKinder,PercentNurseKinder,NumberElementary,PercentElementary,NumberHS,PercentHS,NumberCollege,PercentCollege,NumberTotalNotEnrolled,PercentTotalNotEnrolled,NumberHSGrad,PercentHSGrad,NumberNotHSGrad,PercentNotHSGrad,Gender
Total,75587,20563,27.2,2174,2.9,8434,11.2,4357,5.8,5598,7.4,55023,72.8,42028,55.6,12995,17.2,Both Sexes (Child of Foreign Born Parents)
3 and 4 years old,2169,1168,53.9,1168,53.9,0,0,0,0,0,0,1000,46.1,0,0,1000,46.1,Both Sexes (Child of Foreign Born Parents)
5 and 6 years old,2028,1879,92.6,996,49.1,883,43.5,0,0,0,0,149,7.4,0,0,149,7.4,Both Sexes (Child of Foreign Born Parents)
7 to 9 years old,3133,3056,97.5,10,0.3,3047,97.2,0,0,0,0,77,2.5,0,0,77,2.5,Both Sexes (Child of Foreign Born Parents)
10 to 13 years old,4220,4132,97.9,0,0,4066,96.4,66,1.6,0,0,88,2.1,0,0,88,2.1,Both Sexes (Child of Foreign Born Parents)
14 and 15 years old,2163,2088,96.5,0,0,346,16,1735,80.2,7,0.3,75,3.5,0,0,75,3.5,Both Sexes (Child of Foreign Born Parents)
16 and 17 years old,2181,2023,92.7,0,0,35,1.6,1942,89,45,2.1,159,7.3,51,2.4,107,4.9,Both Sexes (Child of Foreign Born Parents)
18 and 19 years old,2158,1588,73.6,0,0,6,0.3,373,17.3,1208,56,570,26.4,433,20.1,137,6.3,Both Sexes (Child of Foreign Born Parents)
20 and 21 years old,2263,1258,55.6,0,0,4,0.2,58,2.6,1197,52.9,1005,44.4,857,37.9,148,6.5,Both Sexes (Child of Foreign Born Parents)
22 to 24 years old,3537,1270,35.9,0,0,4,0.1,41,1.2,1226,34.7,2267,64.1,1889,53.4,377,10.7,Both Sexes (Child of Foreign Born Parents)
25 to 29 years old,6103,882,14.4,0,0,5,0.1,30,0.5,847,13.9,5221,85.6,4381,71.8,841,13.8,Both Sexes (Child of Foreign Born Parents)
30 to 34 years old,6249,385,6.2,0,0,27,0.4,11,0.2,347,5.6,5864,93.8,4766,76.3,1098,17.6,Both Sexes (Child of Foreign Born Parents)
35 to 44 years old,11926,521,4.4,0,0,3,0,42,0.4,476,4,11405,95.6,8819,73.9,2586,21.7,Both Sexes (Child of Foreign Born Parents)
45 to 54 years old,10465,247,2.4,0,0,10,0.1,50,0.5,188,1.8,10219,97.6,7865,75.2,2354,22.5,Both Sexes (Child of Foreign Born Parents)
55 years old and over,16991,67,0.4,0,0,0,0,10,0.1,57,0.3,16925,99.6,12968,76.3,3957,23.3,Both Sexes (Child of Foreign Born Parents)
Total,37219,10060,27,1077,2.9,4211,11.3,2097,5.6,2675,7.2,27159,73,20611,55.4,6548,17.6,Male (Child of Foreign Born Parents)
3 and 4 years old,1089,535,49.2,535,49.2,0,0,0,0,0,0,554,50.8,0,0,554,50.8,Male (Child of Foreign Born Parents)
5 and 6 years old,999,939,94,536,53.7,403,40.3,0,0,0,0,60,6,0,0,60,6,Male (Child of Foreign Born Parents)
7 to 9 years old,1647,1601,97.2,6,0.4,1595,96.8,0,0,0,0,46,2.8,0,0,46,2.8,Male (Child of Foreign Born Parents)
10 to 13 years old,2077,2009,96.7,0,0,1988,95.7,21,1,0,0,68,3.3,0,0,68,3.3,Male (Child of Foreign Born Parents)
14 and 15 years old,1072,1039,96.9,0,0,187,17.5,849,79.1,3,0.3,34,3.1,0,0,34,3.1,Male (Child of Foreign Born Parents)
16 and 17 years old,1057,952,90.1,0,0,8,0.7,920,87.1,24,2.3,105,9.9,29,2.8,75,7.1,Male (Child of Foreign Born Parents)
18 and 19 years old,1071,745,69.6,0,0,0,0,196,18.3,549,51.2,326,30.4,241,22.5,85,7.9,Male (Child of Foreign Born Parents)
20 and 21 years old,1286,661,51.4,0,0,4,0.3,35,2.7,622,48.4,625,48.6,544,42.3,81,6.3,Male (Child of Foreign Born Parents)
22 to 24 years old,1797,642,35.7,0,0,0,0,13,0.7,629,35,1155,64.3,933,51.9,222,12.3,Male (Child of Foreign Born Parents)
25 to 29 years old,3114,465,14.9,0,0,0,0,7,0.2,458,14.7,2649,85.1,2190,70.3,459,14.7,Male (Child of Foreign Born Parents)
30 to 34 years old,3098,140,4.5,0,0,20,0.7,3,0.1,117,3.8,2958,95.5,2393,77.2,565,18.2,Male (Child of Foreign Born Parents)
35 to 44 years old,6003,211,3.5,0,0,3,0,26,0.4,182,3,5791,96.5,4376,72.9,1415,23.6,Male (Child of Foreign Born Parents)
45 to 54 years old,5234,93,1.8,0,0,2,0,18,0.3,73,1.4,5141,98.2,3923,74.9,1218,23.3,Male (Child of Foreign Born Parents)
55 years old and over,7675,27,0.4,0,0,0,0,10,0.1,18,0.2,7648,99.6,5982,77.9,1666,21.7,Male (Child of Foreign Born Parents)
Total,38367,10503,27.4,1097,2.9,4224,11,2260,5.9,2924,7.6,27864,72.6,21417,55.8,6446,16.8,Female (Child of Foreign Born Parents)
3 and 4 years old,1080,633,58.6,633,58.6,0,0,0,0,0,0,447,41.4,0,0,447,41.4,Female (Child of Foreign Born Parents)
5 and 6 years old,1029,940,91.3,460,44.7,480,46.6,0,0,0,0,89,8.7,0,0,89,8.7,Female (Child of Foreign Born Parents)
7 to 9 years old,1486,1455,97.9,3,0.2,1451,97.7,0,0,0,0,31,2.1,0,0,31,2.1,Female (Child of Foreign Born Parents)
10 to 13 years old,2143,2123,99.1,0,0,2078,97,46,2.1,0,0,20,0.9,0,0,20,0.9,Female (Child of Foreign Born Parents)
14 and 15 years old,1091,1049,96.2,0,0,159,14.5,886,81.2,4,0.4,42,3.8,0,0,42,3.8,Female (Child of Foreign Born Parents)
16 and 17 years old,1125,1071,95.2,0,0,28,2.4,1022,90.9,21,1.9,54,4.8,22,1.9,32,2.8,Female (Child of Foreign Born Parents)
18 and 19 years old,1086,842,77.6,0,0,6,0.6,177,16.3,659,60.7,244,22.4,192,17.7,52,4.8,Female (Child of Foreign Born Parents)
20 and 21 years old,977,598,61.2,0,0,0,0,23,2.4,575,58.8,379,38.8,313,32,66,6.8,Female (Child of Foreign Born Parents)
22 to 24 years old,1740,628,36.1,0,0,3,0.2,28,1.6,597,34.3,1112,63.9,956,55,155,8.9,Female (Child of Foreign Born Parents)
25 to 29 years old,2989,417,14,0,0,5,0.2,23,0.8,389,13,2572,86,2190,73.3,382,12.8,Female (Child of Foreign Born Parents)
